Group,Crop Name,Variety Name,Pack Shots,English,Marathi,Hindi,Remark
Field Crop,Hybrid Paddy,Hy. Paddy Gold-222 (CENTURY),,"Salient Features of Paddy Gold-222 (CENTURY)
• Duration of the Crop: 120 to 125 days
• Seed size : Medium slender
• No.of tillers : 18 to 20
• Plant height: 95cm to 100cm
• Panicle length : 22 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-२२२ (सेंचुरी) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १२० ते १२५ दिवस
 • दाण्याचा आकार : मध्यम बारीक दाणे
 • फुटव्यांची संख्या : १८ ते २०
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : २२ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-२२२ (सेंचुरी) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १२० से १२५ दिन
 • दानों आकार : मध्यम बारीक
 • बाली की लंबाई : १८ से २० सें.मी
 • पौधों की ऊंचाई : ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : २२ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,Paddy Gold-78,,"Salient Features of Paddy Gold-78
• Duration of the Crop: 115 to 120 days
• Seed size : Medium Bold
• No.of tillers : 18 to 20
• Plant height: 95cm to 100cm
• Panicle length : 28 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-७८ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ११५ ते १२० दिवस
 • दाण्याचा आकार : मध्यम जाड
 • फुटव्यांची संख्या : १८ ते २०
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : २८ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-७८ किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : ११५ से १२० दिन
 • दानों आकार : मध्यम बडा
 • बाली की लंबाई : २८ सें.मी
 • पौधों की ऊंचाई : ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : १८ से २०
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-44 
 (KALINGA)",,"Salient Features of Paddy Gold-44 (KALINGA)
• Duration of the Crop : 140 to 145 days
• Seed size : Medium Slender
• No.of tillers : 22 to 24
• Plant height: 95cm to 100cm
• Panicle length : 25 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-४४ (कलिंगा) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १४० ते १४५ दिवस
 • दाण्याचा आकार : मध्यम बारीक
 • फुटव्यांची संख्या : २२ ते २४
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : २५ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-४४ (कलिंगा) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १४० से १४५ दिन
 • दानों आकार : मध्यम बारीक आकार
 • बाली की लंबाई : २२ से २४ सें.मी
 • पौधों की ऊंचाई: ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : २५ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-55
  (KANCHAN PLUS)",,"Salient Features of Paddy Gold-55 (KANCHAN PLUS)
• Duration of the Crop: 140 to 145 days
• Seed size : Medium Slender
• No.of tillers : 18 to 20
• Plant height: 90cm to 95cm
• Panicle length : 30 cm
• Special Features: Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.","भात गोल्ड-५५ (कांचन प्लस) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १४० ते १४५ दिवस
 • दाण्याचा आकार : मध्यम बारीक
 • फुटव्यांची संख्या : १८ ते २०
 • झाडाची उंची : ९० ते ९५ सें.मी.
 • ओंबीची लांबी : ३० सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-५५ (कांचन प्लस) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १४० से १४५ दिन
 • दानों आकार : मध्यम बारीक आकार
 • बाली की लंबाई : १८ से २० सें.मी
 • पौधों की ऊंचाई: ९० से ९५ सें.मी.
 • कल्ले/फुटवों की संख्या : ३० सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-66
  (Laxmi Gold)",,"Salient Features of Paddy Gold-66 (Laxmi Gold)
• Duration of the Crop: 130 to 135 days
• Seed size : Fine
• No.of tillers : 15 to 17
• Plant height: 100cm to 105cm
• Panicle length : 31 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-६६ (लक्ष्मी गोल्ड) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १३० ते १३५ दिवस
 • दाण्याचा आकार : बारीक आकार
 • फुटव्यांची संख्या : १५ ते १७
 • झाडाची उंची : १०० ते १०५ सें.मी.
 • ओंबीची लांबी : ३१ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-६६ (लक्ष्मी गोल्ड) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १३० से १३५ दिन
 • दानों आकार : बारीक आकार
 • बाली की लंबाई : १५ से १७ सें.मी
 • पौधों की ऊंचाई : १०० से १०५ सें.मी.
 • कल्ले/फुटवों की संख्या : ३१ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,Paddy Gold-88 (MAHANADI),,"Salient Features of Paddy Gold-88 (MAHANADI)
• Duration of the Crop: 140 to 145 days
• Seed size : Shot Bold
• No.of tillers : 20 to 22
• Plant height: 95cm to 100cm
• Panicle length: 32 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.

","भात गोल्ड-८८ (महानदी) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १४० ते १४५ दिवस
 • दाण्याचा आकार : मध्यम आकार
 • फुटव्यांची संख्या : २० ते २२
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : ३२ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-८८ (महानदी) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १४० से १४५ दिन
 • दानों आकार : मध्यम आकार
 • बाली की लंबाई : २० से २२ सें.मी
 • पौधों की ऊंचाई: ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : ३२ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-77
  (MUKTA)",,"Salient Features of Paddy Gold-77 (MUKTA)
• Duration of the Crop: 120 to 125 days
• Seed size : Long Bold
• No.of tillers : 20 to 21
• Plant height: 95cm to 100cm
• Panicle length : 30 cm
• Special Features : Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-७७ (मुक्ता गोल्ड) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १२० ते १२५ दिवस
 • दाण्याचा आकार : लांब जाड आकार
 • फुटव्यांची संख्या : २० ते २१
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : ३० सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-७७ (मुक्ता) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १२० से १२५ दिन
 • दानों आकार : लंबा मोटा आकार
 • बाली की लंबाई : २० से २१ सें.मी
 • पौधों की ऊंचाई : ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : ३० सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-33 
 (OBAMA)",,"Salient Features of Paddy Gold-33 (OBAMA)
• Duration of the Crop: 150 to 155 days
• Seed size : Medium slender
• No.of tillers : 19 to 21
• Plant height: 95cm to 100cm
• Panicle length : 30 cm
• Special Features : Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-३३ (ओबामा) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १५० ते १५५ दिवस
 • दाण्याचा आकार : मध्यम बारीक
 • फुटव्यांची संख्या : १९ ते २१
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : ३० सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-३३ (ओबामा) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १५० से १५५ दिन
 • दानों आकार : मध्यम बारीक
 • बाली की लंबाई : १९ से २१ सें.मी
 • पौधों की ऊंचाई : ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : ३० सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-505
  (SIGHRA)",,"Salient Features of Paddy Gold-505 (SIGHRA)
• Duration of the Crop: 105 to 110 days
• Seed size : Fine
• No.of tillers : 16 to 18
• Plant height: 90cm to 95cm
• Panicle length : 28 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.
","भात गोल्ड-५०५ (शीघ्रा) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १०५ ते ११० दिवस
 • दाण्याचा आकार : बारीक
 • फुटव्यांची संख्या : १६ ते १८
 • झाडाची उंची : ९० ते ९५ सें.मी.
 • ओंबीची लांबी : २८ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-५०५ (शीघ्रा) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १०५ से ११० दिन
 • दानों आकार : बारीक
 • बाली की लंबाई : १६ से १८ सें.मी
 • पौधों की ऊंचाई : ९० से ९५ सें.मी.
 • कल्ले/फुटवों की संख्या : २८ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-88
  (SHRIRAM)",,"Salient Features of Paddy Gold-88 (SHRIRAM)
• Duration of the Crop: 155to 160 days
• Seed size : Super Fine
• No.of tillers : 15 to 17
• Plant height: 85cm to 90cm
• Panicle length : 27 cm
• Special Features :Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.

","भात गोल्ड-८८ (श्रीराम) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १५५ ते १६० दिवस
 • दाण्याचा आकार : बारीक
 • फुटव्यांची संख्या : १५ ते १७
 • झाडाची उंची : ८५ ते ९० सें.मी.
 • ओंबीची लांबी : २७ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-८८ (श्रीराम) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १५५ से १६० दिन
 • दानों आकार : बारीक आकार
 • बाली की लंबाई : १५ से १७ सें.मी
 • पौधों की ऊंचाई: ८५ से ९० सें.मी.
 • कल्ले/फुटवों की संख्या : २७ सें.मी.
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-99
  (SUPER MOHINI)",,"Salient Features of Paddy Gold-99 (SUPER MOHINI)
• Duration of the Crop: 130 to 135 days
• Seed size : Shot Slender
• No.of tillers : 21
• Plant height: 95cm to 100cm
• Panicle length: 34 to 35 cm
• Special Features : Dwarf variety with profuse tillers, tolerant to Bacterial Leaf Blight disease & lodging, good cooking quality, response to irrigation and fertilizer application, high quality grain, tolerant to blast disease, good quality rice.

","भात गोल्ड-९९ (सुपर मोहिनी) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : १३० ते १३५ दिवस
 • दाण्याचा आकार : मध्यम बारीक
 • फुटव्यांची संख्या : २१
 • झाडाची उंची : ९५ ते १०० सें.मी.
 • ओंबीची लांबी : ३४ ते ३५ सें.मी.
 • वैशिष्ट्ये : मध्यम बुटका वाण, फुटव्याचे प्रमाण चांगले, अणुजिवीमुळे होणारा करपा रोगास सहनशील व जमिनीवर लोळत नाही, शिजवल्यानंतर स्वादिष्ट व मोकळा भात, पाणी व रासायनिक खतास उत्तम प्रतिसाद, बलास्ट रोगास सहनशील, तांदळाची प्रत उत्तम.","धान गोल्ड-९९ (सुपर मोहिनी) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : १३० से १३५ दिन
 • दानों आकार : मध्यम बारीक आकार
 • बाली की लंबाई : ३४ से ३५ सें.मी
 • पौधों की ऊंचाई : ९५ से १०० सें.मी.
 • कल्ले/फुटवों की संख्या : २१
 • प्रमुख विशेषताएँ: मध्यम बाली प्रजाति, अधिक कल्लेदार, जमीन पर न लेटने वाली, पकने पर स्वादिष्ट, न चिपकनेवाली, पानी व रासायनिक खाद के लिए उत्तम प्रतिसाद व झुलसा रोग के प्रतिसहनशील, धान की उत्तम प्रजाति।",
Field Crop,Research Paddy,"Paddy Gold-101
Swarnmukhi",,,,,
Field Crop,Research Paddy,Paddy Gold-12,,,,,
Field Crop,Research Paddy,Paddy Gold-18,,,,,
Field Crop,Soybean,Gold-3344,,"Gold-3344 Research Soybean 
Salient Features of Soybean Gold-3344 
• Duration of Crop : 90 to 100 days 
• Plant height: 60 to 70 cm 
• Number of Pods/Plants : 225 to 250 (Depends up on Management Practices)
• Colour & Size of seed : Medium Yellow, round seed
Special Features of Soybean Gold-3344
• Medium height, flowers are purple colour, less hairs on stem & pods, Pods with 3 to 4 seeds,Toleraence to rust disease and pests, non-shattering up to 8-10 days after attaining the maturity, suitable for intercropping, yield capacity is 10-12 qtls./Acre (Average)","सोयाबीन - 3344 
 • 4 दाण्यांच्या शेंगा असलेले एकमेव सोयाबीन 
 • कापणीस उशीर झाला व कितीही पाऊस आला तरी शेंगा फुटत नाही व दाने खराब होत नाही 
 • प्रति झाड 10 ते 15% जास्त शेंगा 
 • सर्वाधिक उत्पादन देणारे भारतातील एकमेव चिरीव पानांचे वाण","सोयाबीन गोल्ड ३३४४ बीज की विशेषताएँ 
 • छोटे पत्ते जिससे सूर्यप्रकाश फुल तक आसानी से पहुंचता है, जिससे प्रत्येक फुलका फल्ली में परिवर्तन होता है। 
 • दुसरे सोयाबिन से २० प्रतिषत फल्लीया ज्यादा । 
 • लगभग ५० प्रतिषत फल्लियो में ४ दाने । 
 • छोटे छोटे पत्ते होने से कीड और रोग कम । 
 • जल्दी, मतलब 95 से 105 दिनों में फसल तैयार । 
 (भारत में इसके जैसा दुसरा सोयाबीन नहीं है। यह सिद्ध हो गया है।) किसानों की गोल्ड ३३४४ की ज्यादा मांग को देखकर हर कृषि केंद्र पर बीज उपलब्धता का आयोजन ग्रीन गोल्ड कंपनी की तरफ से खरीफ मौसम के लिए पर्याप्त व्यवस्था की गई है।",
Field Crop,Soybean,Gold-301,,"Salient Features of Soybean Gold-301
• Duration of Crop : 90 to 100 days
• Plant height : 50 to 60 cm
• Number of Pods/Plants : 225 to 250 (Depends up on Management Practices)
• Colour & Size of seed : Medium Yellow, round seed
Special Features of Soybean Gold-301
• Medium height, flowers are white colour, less hairs on stem & pods, Pods with 2 to 3 seeds, Toleraence to rust disease and pests, non-shattering up to 8-10 days after attaining the maturity, suitable for intercropping, yield capacity is 9-10 qtls./Acre (Average)","संशोधित सोयाबिन गोल्ड-३०१ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ९० ते १०० दिवस 
 • झाडाची उंची : ५० ते ६० सें.मी.
 • शेंगांची संख्या / झाड : २२५ ते २५० (पिक व्यवस्थापनानुसार कमी जास्त)
 • दाण्याचा रंग व आकार : मध्यम पिवळसर रंगाची दाणे, दाणे आकाराने गोल.
 • वैशिष्ट्ये : मध्यम उंची, फुलांचा रंग पांढरा, खोडावर आणि शेंगावर लव कमी, प्रत्येक शेंगामध्ये २ ते ३ दाणे, शेंगा खाणाऱ्या अळी व तांबेरा रोगास सहनशील, पक्वतेनंतर ८ ते १० दिवस शेंगा न फुटता शेतात पीक उभा राहु शकतो, अंतरपिकास योग्य वाण, उत्पादन क्षमता : ९ ते १० क्वि. / एकरी (सरासरी)","संशोधित सोयाबीन गोल्ड-३०१ किस्म की प्रमुख विशषेताएँ
 • फसल की अवधि : ९० से १०० दिन 
 • पौधे की ऊंचाई : ५० से ६० से.मी.
 • फलीयों की संख्या/पौधा : २२५ से २५० फलीयाँ (उच्च फसल के प्रबंधन पर निर्भर करता है।)
 • दाने का रंग व आकार : हल्कापीला व अण्डाकार गोल और मध्यम आकार
 • प्रमुख विशषेताएँ: मध्यम ऊँचा, फुल का रंग सफेद, तना व फलीयाँ पर कम रोयेंदार, फलीयों में दानो की संख्या २ से ३। फली छेदक इल्ली व गेरूआ रोग के प्रति सहनशील, फलीयॉ पकने के ८ से १० दिन बाद भी तिडकती (खुलती) नही है। अंतरफसल के लिए योग्य प्रजाती, उत्पादन क्षमता ९ से १० क्विं/एकड़ (औसत)",
Field Crop,Soybean,Gold-309,,"Salient Features of Soybean Gold-301
• Duration of Crop : 90 to 100 days
• Plant height : 50 to 60 cm
• Number of Pods/Plants : 225 to 250 (Depends up on Management Practices)
• Colour & Size of seed : Medium Yellow, round seed
Special Features of Soybean Gold-301
• Medium height, flowers are white colour, less hairs on stem & pods, Pods with 2 to 3 seeds, Toleraence to rust disease and pests, non-shattering up to 8-10 days after attaining the maturity, suitable for intercropping, yield capacity is 9-10 qtls./Acre (Average)","संशोधित सोयाबिन गोल्ड-३०९ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ९५ ते १०५ दिवस
 • झाडाची उंची : ४० ते ५० सें.मी.
 • शेंगांची संख्या / झाड : २२५ ते २५० (पिक व्यवस्थापनानुसार कमी जास्त)
 • दाण्याचा रंग व आकार : मध्यम पिवळसर रंगाची दाणे, दाणे आकाराने गोल.
 • वैशिष्ट्ये : मध्यम उंची, फुलांचा रंग पांढरा, खोडावर आणि शेंगावर लव, प्रत्येक शेंगामध्ये 3 ते 4 दाणे, शेंगा खाणाऱ्या अळी व तांबोरा रोगास सहनशील पक्वतेनंतर ८ ते १० दिवस शेंगा न फुटता शेतात पीक उभा राहु शकतो, अंतरपिकास योग्य वाण, उत्पादन क्षमता : १० ते १२ क्वि. / एकरी (सरासरी)","संशोधित सोयाबीन गोल्ड-३०९ किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : ९५ से १०५ दिन
 • पौधे की ऊंचाई : ४० से ५० से.मी.
 • फलीयों की संख्या/पौधा : २२५ से २५० फलीयाँ (उच्च फसल के प्रबंधन पर निर्भर करता है।)
 • दाने का रंग व आकार : हल्कापीला व अण्डाकार गोल और मध्यम आकार
  प्रमुख विशषेताएँ: मध्यम ऊचा, फुल का रंग सफेद, तना व फलीयॉ पर रोयैंदार, फलीयों में दानो की संख्या ३ से ४ । फली छेदक इली व गेरूआ रोग के प्रति सहनशील, फलीयॉ पकने के ८ से १० दिन बाद भी तिडकती (खुलती) नही है। अंतरफसल के लिए योग्य प्रजाती, उत्पादन क्षमता १०से १२ क्वि / एकड़ (औसत)",
Field Crop,Soybean,GGSV-193,,"Salient Features of Soybean GGSV-193
• Duration of Crop : 90 to 95 days
• Number of Pods/Plants : 225 to 250 (Depends up on Management Practices)
• Colour & Size of seed : Medium Yellow, round seed
• Plant height: 60 to 65 cm
Special Features of Soybean GGSV-193
• Medium height, flowers are white colour, dence hairs on stem & pods, pods with 3 to 4 seeds, Toleraence to rust disease and pests, non-shattering up to 8-10 days after attaining the maturity, suitable for intercropping, yield capacity is 9-10 qtls./Acre (Average)","संशोधित सोयाबीन जिजिएसव्ही - १९३ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ९० ते ९५ दिवस 
 • झाडाची उंची : ६० ते ६५ सें.मी.
 • शेंगांची संख्या / झाड : २२५ ते २५० (पिक व्यवस्थापनानुसार कमी जास्त)
 • दाण्याचा रंग व आकार : मध्यम पिवळसर रंगाची दाणे, दाणे आकाराने गोल.
 • वैशिष्ट्येः मध्यम उंची, फुलांचा रंग पांढरा, खोडावर आणि शेंगावर लव, प्रत्येक शेंगामध्ये 3 ते 4 दाणे, शेंगा खाणाऱ्या अळी व तांबोरा रोगास सहनशील पक्वतेनंतर ८ ते १० दिवस शेंगा न फुटता शेतात पीक उभा राहु शकतो, अंतरपिकास योग्य वाण, उत्पादन क्षमता : ९ ते १० क्वि. / एकरी (सरासरी)","संशोधित सोयाबीन जिजिएसव्ही -१९३ किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : ९० से ९५ दिन
 • पौधे की ऊंचाई : ६० से ६५ से.मी.
 • फलीयों की संख्या/पौधा : २२५ से २५० फलीयाँ (उच्च फसल के प्रबंधन पर निर्भर करता है।)
 • दाने का रंग व आकार : हल्कापीला व अण्डाकार गोल और मध्यम आकार
 • प्रमुख विशषेताएँ : मध्यम ऊचा, फुल का रंग सफेद, तनाव फलीयॉ पर रोयेंदार, फलीयों में दानो की संख्या ३ से ४। फली छेदक इली व गेरूआ रोग के प्रति सहनशील, फलीयॉ पकने के ८ से १० दिन बाद भी तिडकती (खुलती) नहीं है। अंतरफसल के लिए योग्य प्रजाती, उत्पादन क्षमता ९ से १० क्वि/एकड़ (औसत)",
